,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3499.5031440653097,1296.0366958113987,3448.797262452645,3499.5031440653097,3499.5031440653097,-1084.6207087138691,-1084.6207087138691,-1084.6207087138691,44.06265536710063,44.06265536710063,44.06265536710063,-1128.6833640809696,-1128.6833640809696,-1128.6833640809696,0.0,0.0,0.0,2414.8824353514406
1,2018-01-02,3500.3231854624964,1397.8488396156235,3485.2551158325846,3500.3231854624964,3500.3231854624964,-1079.710349085483,-1079.710349085483,-1079.710349085483,30.423389470738496,30.423389470738496,30.423389470738496,-1110.1337385562215,-1110.1337385562215,-1110.1337385562215,0.0,0.0,0.0,2420.6128363770135
2,2018-01-03,3501.1432268596823,1438.6236877438896,3484.986624074315,3501.1432268596823,3501.1432268596823,-1078.9549753083527,-1078.9549753083527,-1078.9549753083527,11.3958452398603,11.3958452398603,11.3958452398603,-1090.350820548213,-1090.350820548213,-1090.350820548213,0.0,0.0,0.0,2422.18825155133
3,2018-01-04,3501.9632682568686,1340.0922450798996,3465.9069478098418,3501.9632682568686,3501.9632682568686,-1077.7497098214055,-1077.7497098214055,-1077.7497098214055,-8.307616351766963,-8.307616351766963,-8.307616351766963,-1069.4420934696386,-1069.4420934696386,-1069.4420934696386,0.0,0.0,0.0,2424.213558435463
4,2018-01-05,3502.7833096540553,1359.9015268814287,3375.009359776239,3502.7833096540553,3502.7833096540553,-1105.5120136791813,-1105.5120136791813,-1105.5120136791813,-57.944861853676336,-57.944861853676336,-57.944861853676336,-1047.567151825505,-1047.567151825505,-1047.567151825505,0.0,0.0,0.0,2397.271295974874
5,2018-01-06,3503.603351051241,1382.1227926839376,3496.318295976245,3503.603351051241,3503.603351051241,-1058.461477036365,-1058.461477036365,-1058.461477036365,-33.52873244895245,-33.52873244895245,-33.52873244895245,-1024.9327445874126,-1024.9327445874126,-1024.9327445874126,0.0,0.0,0.0,2445.141874014876
6,2018-01-07,3504.423392448428,1474.0824282515216,3533.3142613523896,3504.423392448428,3504.423392448428,-987.8868358881072,-987.8868358881072,-987.8868358881072,13.89932057663531,13.89932057663531,13.89932057663531,-1001.7861564647425,-1001.7861564647425,-1001.7861564647425,0.0,0.0,0.0,2516.5365565603206
7,2018-01-08,3505.243433845614,1545.5048434943276,3698.596452126433,3505.243433845614,3505.243433845614,-934.3445029204448,-934.3445029204448,-934.3445029204448,44.062655367050496,44.062655367050496,44.062655367050496,-978.4071582874952,-978.4071582874952,-978.4071582874952,0.0,0.0,0.0,2570.898930925169
8,2018-01-09,3506.0634752428,1534.8110441150816,3590.195636692632,3506.0634752428,3506.0634752428,-924.6754146848867,-924.6754146848867,-924.6754146848867,30.423389470693305,30.423389470693305,30.423389470693305,-955.0988041555801,-955.0988041555801,-955.0988041555801,0.0,0.0,0.0,2581.3880605579134
9,2018-01-10,3506.8835166399867,1529.5804324972403,3575.6679545308148,3506.8835166399867,3506.8835166399867,-920.7815451355935,-920.7815451355935,-920.7815451355935,11.395845239840478,11.395845239840478,11.395845239840478,-932.177390375434,-932.177390375434,-932.177390375434,0.0,0.0,0.0,2586.101971504393
