,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3321.5482761131425,1479.0089517335343,5288.5903446204,3321.5482761131425,3321.5482761131425,38.51930797400461,38.51930797400461,38.51930797400461,38.51930797400461,38.51930797400461,38.51930797400461,0.0,0.0,0.0,3360.067584087147
1,2018-01-02,3323.241018105607,1632.9155697149272,5110.708813367857,3323.241018105607,3323.241018105607,24.40155393225298,24.40155393225298,24.40155393225298,24.40155393225298,24.40155393225298,24.40155393225298,0.0,0.0,0.0,3347.64257203786
2,2018-01-03,3324.9337600980707,1573.5423121079195,5167.462151835205,3324.9337600980707,3324.9337600980707,14.8877434469308,14.8877434469308,14.8877434469308,14.8877434469308,14.8877434469308,14.8877434469308,0.0,0.0,0.0,3339.8215035450016
3,2018-01-04,3326.6265020905353,1622.607216066479,5032.957328639338,3326.6265020905353,3326.6265020905353,-5.408590172363575,-5.408590172363575,-5.408590172363575,-5.408590172363575,-5.408590172363575,-5.408590172363575,0.0,0.0,0.0,3321.2179119181715
4,2018-01-05,3328.319244083,1520.6947378648767,5027.558166238128,3328.319244083,3328.319244083,-55.656514901997866,-55.656514901997866,-55.656514901997866,-55.656514901997866,-55.656514901997866,-55.656514901997866,0.0,0.0,0.0,3272.662729181002
5,2018-01-06,3330.0119860754644,1594.9180234747198,4996.597005977889,3330.0119860754644,3330.0119860754644,-31.808208234933186,-31.808208234933186,-31.808208234933186,-31.808208234933186,-31.808208234933186,-31.808208234933186,0.0,0.0,0.0,3298.203777840531
6,2018-01-07,3331.704728067928,1656.3933395885902,5089.40836617712,3331.704728067928,3331.704728067928,15.06470795604054,15.06470795604054,15.06470795604054,15.06470795604054,15.06470795604054,15.06470795604054,0.0,0.0,0.0,3346.7694360239684
7,2018-01-08,3333.3974700603926,1691.948212448884,5136.663260850173,3333.3974700603926,3333.3974700603926,38.51930797397111,38.51930797397111,38.51930797397111,38.51930797397111,38.51930797397111,38.51930797397111,0.0,0.0,0.0,3371.9167780343637
8,2018-01-09,3335.090212052857,1472.2509556319292,5102.700773408141,3335.090212052857,3335.090212052857,24.40155393221737,24.40155393221737,24.40155393221737,24.40155393221737,24.40155393221737,24.40155393221737,0.0,0.0,0.0,3359.4917659850744
9,2018-01-10,3336.7829540453213,1466.0048518737153,5056.126567324378,3336.7829540453213,3336.7829540453213,14.887743446916424,14.887743446916424,14.887743446916424,14.887743446916424,14.887743446916424,14.887743446916424,0.0,0.0,0.0,3351.6706974922377
10,2018-01-11,3338.4756960377854,1529.8168093551155,4994.792410555736,3338.4756960377854,3338.4756960377854,-5.4085901723915715,-5.4085901723915715,-5.4085901723915715,-5.4085901723915715,-5.4085901723915715,-5.4085901723915715,0.0,0.0,0.0,3333.067105865394
11,2018-01-12,3340.16843803025,1604.19873829278,5098.244270379217,3340.16843803025,3340.16843803025,-55.65651490201551,-55.65651490201551,-55.65651490201551,-55.65651490201551,-55.65651490201551,-55.65651490201551,0.0,0.0,0.0,3284.5119231282342
12,2018-01-13,3341.8611800227145,1558.2084620194453,5049.037084260058,3341.8611800227145,3341.8611800227145,-31.80820823498611,-31.80820823498611,-31.80820823498611,-31.80820823498611,-31.80820823498611,-31.80820823498611,0.0,0.0,0.0,3310.0529717877284
13,2018-01-14,3343.5539220151786,1552.8268597934323,5004.490408892754,3343.5539220151786,3343.5539220151786,15.06470795607991,15.06470795607991,15.06470795607991,15.06470795607991,15.06470795607991,15.06470795607991,0.0,0.0,0.0,3358.6186299712585
14,2018-01-15,3345.2466640076427,1633.94800694678,5030.664500609412,3345.2466640076427,3345.2466640076427,38.5193079739927,38.5193079739927,38.5193079739927,38.5193079739927,38.5193079739927,38.5193079739927,0.0,0.0,0.0,3383.7659719816356
15,2018-01-16,3346.9394060001073,1424.4828013300623,5068.305944045605,3346.9394060001073,3346.9394060001073,24.401553932238823,24.401553932238823,24.401553932238823,24.401553932238823,24.401553932238823,24.401553932238823,0.0,0.0,0.0,3371.3409599323463
16,2018-01-17,3348.6321479925714,1664.2535280047084,5117.581818848362,3348.6321479925714,3348.6321479925714,14.887743446902052,14.887743446902052,14.887743446902052,14.887743446902052,14.887743446902052,14.887743446902052,0.0,0.0,0.0,3363.5198914394737
17,2018-01-18,3350.3248899850355,1580.1906261030642,5099.345596005854,3350.3248899850355,3350.3248899850355,-5.408590172349865,-5.408590172349865,-5.408590172349865,-5.408590172349865,-5.408590172349865,-5.408590172349865,0.0,0.0,0.0,3344.916299812686
18,2018-01-19,3352.0176319775,1468.380045634286,5024.212724660414,3352.0176319775,3352.0176319775,-55.656514901987386,-55.656514901987386,-55.656514901987386,-55.656514901987386,-55.656514901987386,-55.656514901987386,0.0,0.0,0.0,3296.3611170755125
19,2018-01-20,3353.710373969964,1520.575632912364,5084.773142898422,3353.710373969964,3353.710373969964,-31.808208234941766,-31.808208234941766,-31.808208234941766,-31.808208234941766,-31.808208234941766,-31.808208234941766,0.0,0.0,0.0,3321.902165735022
20,2018-01-21,3355.4031159624287,1511.8510480923335,5068.721333694527,3355.4031159624287,3355.4031159624287,15.064707956119275,15.064707956119275,15.064707956119275,15.064707956119275,15.064707956119275,15.064707956119275,0.0,0.0,0.0,3370.467823918548
21,2018-01-22,3357.095857954893,1646.0941371937763,5100.001912503214,3357.095857954893,3357.095857954893,38.51930797397992,38.51930797397992,38.51930797397992,38.51930797397992,38.51930797397992,38.51930797397992,0.0,0.0,0.0,3395.6151659288726
22,2018-01-23,3358.7885999473574,1626.959605982273,5167.711977947616,3358.7885999473574,3358.7885999473574,24.401553932260278,24.401553932260278,24.401553932260278,24.401553932260278,24.401553932260278,24.401553932260278,0.0,0.0,0.0,3383.190153879618
23,2018-01-24,3360.4813419398215,1633.2176968168349,5107.267679671178,3360.4813419398215,3360.4813419398215,14.887743446938899,14.887743446938899,14.887743446938899,14.887743446938899,14.887743446938899,14.887743446938899,0.0,0.0,0.0,3375.3690853867606
