,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,2999.554821044844,1524.115672500166,5239.854049376665,2999.554821044844,2999.554821044844,340.05945822691433,340.05945822691433,340.05945822691433,301.3593827872454,301.3593827872454,301.3593827872454,38.700075439668915,38.700075439668915,38.700075439668915,0.0,0.0,0.0,3339.6142792717583
1,2018-01-02,3001.389042015031,1559.4119565534177,5148.07449361928,3001.389042015031,3001.389042015031,325.8967508432665,325.8967508432665,325.8967508432665,301.3593827872454,301.3593827872454,301.3593827872454,24.537368056021084,24.537368056021084,24.537368056021084,0.0,0.0,0.0,3327.2857928582976
2,2018-01-03,3003.2232629852174,1547.7222136159703,5012.764707400604,3003.2232629852174,3003.2232629852174,316.2563565342371,316.2563565342371,316.2563565342371,301.3593827872454,301.3593827872454,301.3593827872454,14.896973746991689,14.896973746991689,14.896973746991689,0.0,0.0,0.0,3319.4796195194544
3,2018-01-04,3005.057483955404,1593.235658507406,5078.506021802077,3005.057483955404,3005.057483955404,295.9035731790721,295.9035731790721,295.9035731790721,301.3593827872454,301.3593827872454,301.3593827872454,-5.455809608173278,-5.455809608173278,-5.455809608173278,0.0,0.0,0.0,3300.9610571344765
4,2018-01-05,3006.8917049255906,1525.6530791426562,4940.158763136136,3006.8917049255906,3006.8917049255906,245.51111184355995,245.51111184355995,245.51111184355995,301.3593827872454,301.3593827872454,301.3593827872454,-55.848270943685456,-55.848270943685456,-55.848270943685456,0.0,0.0,0.0,3252.4028167691504
5,2018-01-06,3008.7259258957774,1580.6231515218185,5084.164730511969,3008.7259258957774,3008.7259258957774,269.43574844715744,269.43574844715744,269.43574844715744,301.3593827872454,301.3593827872454,301.3593827872454,-31.92363434008796,-31.92363434008796,-31.92363434008796,0.0,0.0,0.0,3278.161674342935
6,2018-01-07,3010.560146865964,1546.8322155792564,5085.08714356027,3010.560146865964,3010.560146865964,316.45268043644455,316.45268043644455,316.45268043644455,301.3593827872454,301.3593827872454,301.3593827872454,15.093297649199181,15.093297649199181,15.093297649199181,0.0,0.0,0.0,3327.0128273024084
7,2018-01-08,3012.3943678361506,1571.145018640972,5105.7128493429855,3012.3943678361506,3012.3943678361506,340.05945822688057,340.05945822688057,340.05945822688057,301.3593827872454,301.3593827872454,301.3593827872454,38.70007543963515,38.70007543963515,38.70007543963515,0.0,0.0,0.0,3352.453826063031
8,2018-01-09,3014.2285888063375,1521.5096111199816,5130.884282715393,3014.2285888063375,3014.2285888063375,325.8967508432306,325.8967508432306,325.8967508432306,301.3593827872454,301.3593827872454,301.3593827872454,24.537368055985265,24.537368055985265,24.537368055985265,0.0,0.0,0.0,3340.125339649568
9,2018-01-10,3016.062809776524,1537.7418459266812,5159.241328093864,3016.062809776524,3016.062809776524,316.2563565342226,316.2563565342226,316.2563565342226,301.3593827872454,301.3593827872454,301.3593827872454,14.896973746977208,14.896973746977208,14.896973746977208,0.0,0.0,0.0,3332.3191663107464
10,2018-01-11,3017.8970307467107,1621.1432401042596,5016.289256292815,3017.8970307467107,3017.8970307467107,295.9035731790441,295.9035731790441,295.9035731790441,301.3593827872454,301.3593827872454,301.3593827872454,-5.455809608201331,-5.455809608201331,-5.455809608201331,0.0,0.0,0.0,3313.800603925755
11,2018-01-12,3019.731251716897,1503.1082029615889,5072.949806319265,3019.731251716897,3019.731251716897,245.51111184354224,245.51111184354224,245.51111184354224,301.3593827872454,301.3593827872454,301.3593827872454,-55.84827094370315,-55.84827094370315,-55.84827094370315,0.0,0.0,0.0,3265.242363560439
12,2018-01-13,3021.565472687084,1540.3675072655828,5013.881156733153,3021.565472687084,3021.565472687084,269.4357484471044,269.4357484471044,269.4357484471044,301.3593827872454,301.3593827872454,301.3593827872454,-31.92363434014098,-31.92363434014098,-31.92363434014098,0.0,0.0,0.0,3291.001221134188
13,2018-01-14,3023.3996936572703,1706.2173411397898,5088.75318910182,3023.3996936572703,3023.3996936572703,316.4526804364841,316.4526804364841,316.4526804364841,301.3593827872454,301.3593827872454,301.3593827872454,15.093297649238735,15.093297649238735,15.093297649238735,0.0,0.0,0.0,3339.8523740937544
14,2018-01-15,3025.233914627457,1788.4815392052105,5032.447152987602,3025.233914627457,3025.233914627457,340.0594582269023,340.0594582269023,340.0594582269023,301.3593827872454,301.3593827872454,301.3593827872454,38.7000754396569,38.7000754396569,38.7000754396569,0.0,0.0,0.0,3365.2933728543594
15,2018-01-16,3027.068135597644,1595.005302359703,5120.4093552008035,3027.068135597644,3027.068135597644,325.8967508432523,325.8967508432523,325.8967508432523,301.3593827872454,301.3593827872454,301.3593827872454,24.53736805600689,24.53736805600689,24.53736805600689,0.0,0.0,0.0,3352.9648864408964
16,2018-01-17,3028.9023565678303,1544.662066031665,5081.508675080811,3028.9023565678303,3028.9023565678303,316.2563565342082,316.2563565342082,316.2563565342082,301.3593827872454,301.3593827872454,301.3593827872454,14.896973746962722,14.896973746962722,14.896973746962722,0.0,0.0,0.0,3345.1587131020387
17,2018-01-18,3030.736577538017,1556.7399852602973,5131.208867660782,3030.736577538017,3030.736577538017,295.9035731790858,295.9035731790858,295.9035731790858,301.3593827872454,301.3593827872454,301.3593827872454,-5.455809608159556,-5.455809608159556,-5.455809608159556,0.0,0.0,0.0,3326.640150717103
18,2018-01-19,3032.5707985082036,1460.1714999451558,4984.509824273674,3032.5707985082036,3032.5707985082036,245.51111184357046,245.51111184357046,245.51111184357046,301.3593827872454,301.3593827872454,301.3593827872454,-55.84827094367496,-55.84827094367496,-55.84827094367496,0.0,0.0,0.0,3278.0819103517742
19,2018-01-20,3034.4050194783904,1501.9043523283403,5097.528540254963,3034.4050194783904,3034.4050194783904,269.43574844714897,269.43574844714897,269.43574844714897,301.3593827872454,301.3593827872454,301.3593827872454,-31.92363434009649,-31.92363434009649,-31.92363434009649,0.0,0.0,0.0,3303.8407679255392
20,2018-01-21,3036.2392404485768,1689.5619937986814,5168.114682263567,3036.2392404485768,3036.2392404485768,316.4526804365237,316.4526804365237,316.4526804365237,301.3593827872454,301.3593827872454,301.3593827872454,15.09329764927828,15.09329764927828,15.09329764927828,0.0,0.0,0.0,3352.6919208851004
21,2018-01-22,3038.0734614187636,1612.3626418622673,5237.682810228157,3038.0734614187636,3038.0734614187636,340.0594582268895,340.0594582268895,340.0594582268895,301.3593827872454,301.3593827872454,301.3593827872454,38.70007543964411,38.70007543964411,38.70007543964411,0.0,0.0,0.0,3378.132919645653
