,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3266.1216412405174,1560.2965498315086,5093.276368828217,3266.1216412405174,3266.1216412405174,0.0,0.0,0.0,0.0,0.0,0.0,3266.1216412405174
1,2018-01-02,3268.2355620986864,1518.948988054371,5122.052482264524,3268.2355620986864,3268.2355620986864,0.0,0.0,0.0,0.0,0.0,0.0,3268.2355620986864
2,2018-01-03,3270.349482956856,1507.8812173556116,4893.732269334404,3270.349482956856,3270.349482956856,0.0,0.0,0.0,0.0,0.0,0.0,3270.349482956856
3,2018-01-04,3272.4634038150243,1588.9103642776317,4959.597062439367,3272.4634038150243,3272.4634038150243,0.0,0.0,0.0,0.0,0.0,0.0,3272.4634038150243
4,2018-01-05,3274.5773246731937,1406.6935259075503,5050.60003591974,3274.5773246731937,3274.5773246731937,0.0,0.0,0.0,0.0,0.0,0.0,3274.5773246731937
5,2018-01-06,3276.691245531363,1501.1455588628799,5036.755697641376,3276.691245531363,3276.691245531363,0.0,0.0,0.0,0.0,0.0,0.0,3276.691245531363
6,2018-01-07,3278.805166389532,1446.3628339904806,5097.172439996891,3278.805166389532,3278.805166389532,0.0,0.0,0.0,0.0,0.0,0.0,3278.805166389532
7,2018-01-08,3280.919087247701,1595.2867483670323,5043.485682475215,3280.919087247701,3280.919087247701,0.0,0.0,0.0,0.0,0.0,0.0,3280.919087247701
8,2018-01-09,3283.0330081058705,1637.743274480492,5125.849550606858,3283.0330081058705,3283.0330081058705,0.0,0.0,0.0,0.0,0.0,0.0,3283.0330081058705
9,2018-01-10,3285.1469289640395,1539.831057592251,5008.505824271379,3285.1469289640395,3285.1469289640395,0.0,0.0,0.0,0.0,0.0,0.0,3285.1469289640395
10,2018-01-11,3287.260849822209,1585.7389936715376,5077.6230374781735,3287.260849822209,3287.260849822209,0.0,0.0,0.0,0.0,0.0,0.0,3287.260849822209
11,2018-01-12,3289.374770680378,1402.6942475827432,5137.6987577654645,3289.374770680378,3289.374770680378,0.0,0.0,0.0,0.0,0.0,0.0,3289.374770680378
12,2018-01-13,3291.488691538547,1458.2284150444566,4919.006829181536,3291.488691538547,3291.488691538547,0.0,0.0,0.0,0.0,0.0,0.0,3291.488691538547
13,2018-01-14,3293.6026123967163,1424.3373756965268,5027.326470769893,3293.6026123967163,3293.6026123967163,0.0,0.0,0.0,0.0,0.0,0.0,3293.6026123967163
14,2018-01-15,3295.7165332548857,1736.9179127713087,5170.5349992441415,3295.7165332548857,3295.7165332548857,0.0,0.0,0.0,0.0,0.0,0.0,3295.7165332548857
15,2018-01-16,3297.830454113054,1598.0708678801986,5018.053247309654,3297.830454113054,3297.830454113054,0.0,0.0,0.0,0.0,0.0,0.0,3297.830454113054
16,2018-01-17,3299.9443749712236,1610.2294870721182,5098.352309998615,3299.9443749712236,3299.9443749712236,0.0,0.0,0.0,0.0,0.0,0.0,3299.9443749712236
17,2018-01-18,3302.058295829393,1556.826864436951,5193.9111760459,3302.058295829393,3302.058295829393,0.0,0.0,0.0,0.0,0.0,0.0,3302.058295829393
18,2018-01-19,3304.172216687562,1577.0084591238315,5104.564853294315,3304.172216687562,3304.172216687562,0.0,0.0,0.0,0.0,0.0,0.0,3304.172216687562
